apt_name,report_id,created,last_update
magichound,4891,2019-03-20 15:32:45.576444+01,2019-03-20 15:32:45.576444+01
threatgroup3390,4892,2019-03-20 15:32:47.362105+01,2019-03-20 15:32:47.362105+01
magichound,4892,2019-03-20 15:32:47.363383+01,2019-03-20 15:32:47.363383+01
apt33,4893,2019-03-20 15:32:54.617271+01,2019-03-20 15:32:54.617271+01
magichound,4893,2019-03-20 15:32:54.620566+01,2019-03-20 15:32:54.620566+01
oilrig,4893,2019-03-20 15:32:54.621623+01,2019-03-20 15:32:54.621623+01
bronzebutler,4894,2019-03-20 15:32:54.627307+01,2019-03-20 15:32:54.627307+01
bronzebutler,4895,2019-03-20 15:33:05.754894+01,2019-03-20 15:33:05.754894+01
bronzebutler,4896,2019-03-20 15:33:07.892344+01,2019-03-20 15:33:07.892344+01
threatgroup3390,4896,2019-03-20 15:33:07.893986+01,2019-03-20 15:33:07.893986+01
bronzebutler,4897,2019-03-20 15:33:08.66563+01,2019-03-20 15:33:08.66563+01
cobaltgroup,4898,2019-03-20 15:33:08.671915+01,2019-03-20 15:33:08.671915+01
cobaltgroup,4899,2019-03-20 15:33:16.215922+01,2019-03-20 15:33:16.215922+01
equation,4899,2019-03-20 15:33:16.217464+01,2019-03-20 15:33:16.217464+01
cobaltgroup,4900,2019-03-20 15:33:19.714803+01,2019-03-20 15:33:19.714803+01
cobaltgroup,4901,2019-03-20 15:33:20.433518+01,2019-03-20 15:33:20.433518+01
cobaltgroup,4902,2019-03-20 15:33:20.737131+01,2019-03-20 15:33:20.737131+01
cobaltgroup,4903,2019-03-20 15:33:22.097911+01,2019-03-20 15:33:22.097911+01
cobaltgroup,4904,2019-03-20 15:33:23.324588+01,2019-03-20 15:33:23.324588+01
cobaltgroup,4905,2019-03-20 15:33:24.120687+01,2019-03-20 15:33:24.120687+01
cobaltgroup,4906,2019-03-20 15:33:25.128879+01,2019-03-20 15:33:25.128879+01
cobaltgroup,4907,2019-03-20 15:33:25.588472+01,2019-03-20 15:33:25.588472+01
fin8,4908,2019-03-20 15:33:25.593432+01,2019-03-20 15:33:25.593432+01
fin8,4909,2019-03-20 15:33:34.172563+01,2019-03-20 15:33:34.172563+01
fin7,4909,2019-03-20 15:33:34.173882+01,2019-03-20 15:33:34.173882+01
apt19,4909,2019-03-20 15:33:34.174691+01,2019-03-20 15:33:34.174691+01
fin8,4910,2019-03-20 15:33:35.195605+01,2019-03-20 15:33:35.195605+01
ta459,4911,2019-03-20 15:33:35.199981+01,2019-03-20 15:33:35.199981+01
ta459,4912,2019-03-20 15:33:46.749906+01,2019-03-20 15:33:46.749906+01
threatgroup1314,4913,2019-03-20 15:33:46.764148+01,2019-03-20 15:33:46.764148+01
threatgroup3390,4914,2019-03-20 15:33:57.692238+01,2019-03-20 15:33:57.692238+01
threatgroup1314,4914,2019-03-20 15:33:57.693348+01,2019-03-20 15:33:57.693348+01
darkhydrus,4915,2019-03-20 15:33:57.699346+01,2019-03-20 15:33:57.699346+01
darkhydrus,4916,2019-03-20 15:34:07.194239+01,2019-03-20 15:34:07.194239+01
patchwork,4806,2019-03-20 15:34:07.521277+01,2019-03-20 15:34:07.521277+01
bronzebutler,4806,2019-03-20 15:34:07.560803+01,2019-03-20 15:34:07.560803+01
darkhydrus,4806,2019-03-20 15:34:07.562752+01,2019-03-20 15:34:07.562752+01
dragonok,4806,2019-03-20 15:34:07.563876+01,2019-03-20 15:34:07.563876+01
dragonfly,4918,2019-03-20 15:34:07.571699+01,2019-03-20 15:34:07.571699+01
dragonfly,4919,2019-03-20 15:34:20.102491+01,2019-03-20 15:34:20.102491+01
dragonfly,4880,2019-03-20 15:34:20.460653+01,2019-03-20 15:34:20.460653+01
dragonfly,4881,2019-03-20 15:34:20.703613+01,2019-03-20 15:34:20.703613+01
elderwood,4922,2019-03-20 15:34:20.708199+01,2019-03-20 15:34:20.708199+01
elderwood,4923,2019-03-20 15:34:35.240691+01,2019-03-20 15:34:35.240691+01
taidoor,4923,2019-03-20 15:34:35.24243+01,2019-03-20 15:34:35.24243+01
elderwood,4924,2019-03-20 15:34:38.951594+01,2019-03-20 15:34:38.951594+01
apt1,4924,2019-03-20 15:34:38.953817+01,2019-03-20 15:34:38.953817+01
elderwood,4925,2019-03-20 15:34:40.594811+01,2019-03-20 15:34:40.594811+01
apt29,4926,2019-03-20 15:34:40.600457+01,2019-03-20 15:34:40.600457+01
apt29,4927,2019-03-20 15:34:49.77251+01,2019-03-20 15:34:49.77251+01
leviathan,4927,2019-03-20 15:34:49.774324+01,2019-03-20 15:34:49.774324+01
apt29,4928,2019-03-20 15:34:50.842512+01,2019-03-20 15:34:50.842512+01
dragonfly,4929,2019-03-20 15:34:51.937154+01,2019-03-20 15:34:51.937154+01
apt29,4929,2019-03-20 15:34:51.938722+01,2019-03-20 15:34:51.938722+01
sandwormteam,4929,2019-03-20 15:34:51.943136+01,2019-03-20 15:34:51.943136+01
axiom,4930,2019-03-20 15:34:51.997432+01,2019-03-20 15:34:51.997432+01
axiom,4931,2019-03-20 15:34:59.85721+01,2019-03-20 15:34:59.85721+01
axiom,4932,2019-03-20 15:35:01.65548+01,2019-03-20 15:35:01.65548+01
axiom,4771,2019-03-20 15:35:03.998077+01,2019-03-20 15:35:03.998077+01
axiom,4772,2019-03-20 15:35:04.081697+01,2019-03-20 15:35:04.081697+01
apt28,4936,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
apt28,4937,2019-03-20 15:35:15.943702+01,2019-03-20 15:35:15.943702+01
magichound,4937,2019-03-20 15:35:15.945133+01,2019-03-20 15:35:15.945133+01
apt12,4937,2019-03-20 15:35:15.946266+01,2019-03-20 15:35:15.946266+01
apt28,4938,2019-03-20 15:35:17.870323+01,2019-03-20 15:35:17.870323+01
apt29,4938,2019-03-20 15:35:17.872655+01,2019-03-20 15:35:17.872655+01
