report_id,technique_id,created,last_update
1146,attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e,2019-07-12 16:58:04.903693+00,2019-07-12 16:58:04.903693+00
1146,attack-pattern--51dea151-0898-4a45-967c-3ebee0420484,2019-07-12 16:58:04.912011+00,2019-07-12 16:58:04.912011+00
1146,attack-pattern--830c9528-df21-472c-8c14-a036bf17d665,2019-07-12 16:58:04.920362+00,2019-07-12 16:58:04.920362+00
1146,attack-pattern--edbe24e9-aec4-4994-ac75-6a6bc7f1ddd0,2019-07-12 16:58:04.928664+00,2019-07-12 16:58:04.928664+00
1146,attack-pattern--56fca983-1cf1-4fd1-bda0-5e170a37ab59,2019-07-12 16:58:04.937012+00,2019-07-12 16:58:04.937012+00
1146,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,2019-07-12 16:58:04.945422+00,2019-07-12 16:58:04.945422+00
1146,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,2019-07-12 16:58:04.953764+00,2019-07-12 16:58:04.953764+00
1146,attack-pattern--519630c5-f03f-4882-825c-3af924935817,2019-07-12 16:58:04.962212+00,2019-07-12 16:58:04.962212+00
1146,attack-pattern--cc7b8c4e-9be0-47ca-b0bb-83915ec3ee2f,2019-07-12 16:58:04.970398+00,2019-07-12 16:58:04.970398+00
1146,attack-pattern--ca1a3f50-5ebd-41f8-8320-2c7d6a6e88be,2019-07-12 16:58:04.978737+00,2019-07-12 16:58:04.978737+00
1152,attack-pattern--a6525aec-acc4-47fe-92f9-b9b4de4b9228,2019-07-12 16:58:57.002822+00,2019-07-12 16:58:57.002822+00
1152,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,2019-07-12 16:58:57.014273+00,2019-07-12 16:58:57.014273+00
1152,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea,2019-07-12 16:58:57.023912+00,2019-07-12 16:58:57.023912+00
1152,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08,2019-07-12 16:58:57.032231+00,2019-07-12 16:58:57.032231+00
