keyword,is_alias,apt_name,created,last_update
carbonspider,t,carbanak,2019-03-20 15:38:50.543651+01,2019-03-20 15:38:50.543651+01
platinum,t,platinum,2019-03-20 15:39:00.853062+01,2019-03-20 15:39:00.853062+01
lotusblossom,t,lotusblossom,2019-03-20 15:39:09.128658+01,2019-03-20 15:39:09.128658+01
lotus blossom,t,lotusblossom,2019-03-20 15:39:09.128658+01,2019-03-20 15:39:09.128658+01
spring dragon,t,lotusblossom,2019-03-20 15:39:09.132766+01,2019-03-20 15:39:09.132766+01
springdragon,t,lotusblossom,2019-03-20 15:39:09.132766+01,2019-03-20 15:39:09.132766+01
plaunit61398,t,apt1,2019-03-20 15:39:18.309973+01,2019-03-20 15:39:18.309973+01
tg8223,t,apt1,2019-03-20 15:39:18.309973+01,2019-03-20 15:39:18.309973+01
brownfox,t,apt1,2019-03-20 15:39:18.309973+01,2019-03-20 15:39:18.309973+01
group3,t,apt1,2019-03-20 15:39:18.309973+01,2019-03-20 15:39:18.309973+01
pla unit 61398,t,apt1,2019-03-20 15:39:18.309973+01,2019-03-20 15:39:18.309973+01
tg-8223,t,apt1,2019-03-20 15:39:18.309973+01,2019-03-20 15:39:18.309973+01
apt 1,t,apt1,2019-03-20 15:39:18.309973+01,2019-03-20 15:39:18.309973+01
group 3,t,apt1,2019-03-20 15:39:18.309973+01,2019-03-20 15:39:18.309973+01
